S/N,Project Name,Street Name,Type,Postal District,Market Segment,Tenure,Type of Sale,No. of Units,Price ($),Nett Price ($),Area (Sqft),Type of Area,Floor Level,Unit Price ($psf),Date of Sale
1,PARC CLEMATIS,JALAN LEMPENG,Apartment,5,OCR,99 yrs lease commencing from 2019,New Sale,1,3060000,-,1711,Strata,06 to 10,1788,1/11/22
2,RIVIERE,JIAK KIM STREET,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,3320000,-,1141,Strata,26 to 30,2910,1/11/22
3,PARC CLEMATIS,JALAN LEMPENG,Apartment,5,OCR,99 yrs lease commencing from 2019,New Sale,1,3120000,-,1711,Strata,11 to 15,1823,1/11/22
4,RIVIERE,JIAK KIM STREET,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,3410000,-,1141,Strata,31 to 35,2989,1/11/22
5,RIVIERE,JIAK KIM STREET,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,2678000,-,818,Strata,36 to 40,3274,1/11/22
6,RIVIERE,JIAK KIM STREET,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,4622000,-,1507,Strata,31 to 35,3067,1/11/22
7,RIVIERE,JIAK KIM STREET,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,3803000,-,1216,Strata,31 to 35,3127,1/11/22
8,RIVIERE,JIAK KIM STREET,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,3743000,-,1249,Strata,31 to 35,2998,1/11/22
9,RIVIERE,JIAK KIM STREET,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,1692000,-,560,Strata,26 to 30,3023,1/11/22
10,RIVIERE,JIAK KIM STREET,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,2518000,-,818,Strata,31 to 35,3078,1/11/22
11,RIVIERE,JIAK KIM STREET,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,3708000,-,1249,Strata,31 to 35,2970,1/11/22
12,RIVIERE,JIAK KIM STREET,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,3773000,-,1216,Strata,26 to 30,3102,1/11/22
13,ONE BERNAM,BERNAM STREET,Apartment,2,CCR,99 yrs lease commencing from 2019,New Sale,1,1768000,-,700,Strata,11 to 15,2527,1/11/22
14,THE LANDMARK,CHIN SWEE ROAD,Condominium,3,RCR,99 yrs lease commencing from 2020,New Sale,1,2596888,-,1076,Strata,11 to 15,2413,1/11/22
15,RIVIERE,JIAK KIM STREET,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,2592000,-,818,Strata,36 to 40,3168,1/11/22
16,THE LANDMARK,CHIN SWEE ROAD,Condominium,3,RCR,99 yrs lease commencing from 2020,New Sale,1,1775040,-,678,Strata,21 to 25,2618,1/11/22
17,RIVIERE,JIAK KIM STREET,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,3753000,-,1216,Strata,26 to 30,3086,1/11/22
18,RIVIERE,JIAK KIM STREET,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,3678000,-,1216,Strata,21 to 25,3024,1/11/22
19,RIVIERE,JIAK KIM STREET,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,4408000,-,1507,Strata,21 to 25,2925,1/11/22
20,RIVIERE,JIAK KIM STREET,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,4475000,-,1507,Strata,21 to 25,2970,1/11/22
21,PARC CLEMATIS,JALAN LEMPENG,Apartment,5,OCR,99 yrs lease commencing from 2019,New Sale,1,3080000,-,1711,Strata,06 to 10,1800,1/11/22
22,THE LANDMARK,CHIN SWEE ROAD,Condominium,3,RCR,99 yrs lease commencing from 2020,New Sale,1,1745150,-,678,Strata,21 to 25,2573,1/11/22
23,RIVIERE,JIAK KIM STREET,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,2548000,-,818,Strata,31 to 35,3115,1/11/22
24,RIVIERE,JIAK KIM STREET,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,2468000,-,818,Strata,31 to 35,3017,1/11/22
25,THE LANDMARK,CHIN SWEE ROAD,Condominium,3,RCR,99 yrs lease commencing from 2020,New Sale,1,2759888,-,1141,Strata,11 to 15,2419,1/11/22
26,THE LANDMARK,CHIN SWEE ROAD,Condominium,3,RCR,99 yrs lease commencing from 2020,New Sale,1,2888640,-,1141,Strata,16 to 20,2532,1/11/22
27,THE LANDMARK,CHIN SWEE ROAD,Condominium,3,RCR,99 yrs lease commencing from 2020,New Sale,1,2778888,-,1141,Strata,16 to 20,2436,1/11/22
28,THE LANDMARK,CHIN SWEE ROAD,Condominium,3,RCR,99 yrs lease commencing from 2020,New Sale,1,1354888,-,517,Strata,21 to 25,2622,1/11/22
29,THE LANDMARK,CHIN SWEE ROAD,Condominium,3,RCR,99 yrs lease commencing from 2020,New Sale,1,1839888,-,764,Strata,16 to 20,2407,1/11/22
30,THE LANDMARK,CHIN SWEE ROAD,Condominium,3,RCR,99 yrs lease commencing from 2020,New Sale,1,1334888,-,517,Strata,16 to 20,2584,1/11/22
31,THE REEF AT KING'S DOCK,HARBOURFRONT AVENUE,Condominium,4,RCR,99 yrs lease commencing from 2021,New Sale,1,2948000,-,1216,Strata,01 to 05,2424,1/11/22
32,ONE BERNAM,BERNAM STREET,Apartment,2,CCR,99 yrs lease commencing from 2019,New Sale,1,1398000,-,441,Strata,26 to 30,3168,1/11/22
33,RIVIERE,JIAK KIM STREET,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,2523000,-,818,Strata,31 to 35,3084,1/11/22
34,ONE PEARL BANK,PEARL BANK,Apartment,3,RCR,99 yrs lease commencing from 2019,New Sale,1,3210000,-,1216,Strata,31 to 35,2639,1/11/22
35,ONE PEARL BANK,PEARL BANK,Apartment,3,RCR,99 yrs lease commencing from 2019,New Sale,1,2154000,-,840,Strata,31 to 35,2566,1/11/22
36,ONE BERNAM,BERNAM STREET,Apartment,2,CCR,99 yrs lease commencing from 2019,New Sale,1,1821000,-,732,Strata,11 to 15,2488,1/11/22
37,THE LANDMARK,CHIN SWEE ROAD,Condominium,3,RCR,99 yrs lease commencing from 2020,New Sale,1,1825888,-,764,Strata,16 to 20,2389,1/11/22
38,ONE PEARL BANK,PEARL BANK,Apartment,3,RCR,99 yrs lease commencing from 2019,New Sale,1,1988000,-,700,Strata,26 to 30,2841,1/11/22
39,ONE PEARL BANK,PEARL BANK,Apartment,3,RCR,99 yrs lease commencing from 2019,New Sale,1,3070000,-,1184,Strata,31 to 35,2593,1/11/22
40,ONE PEARL BANK,PEARL BANK,Apartment,3,RCR,99 yrs lease commencing from 2019,New Sale,1,1991000,-,700,Strata,31 to 35,2846,1/11/22
41,ONE PEARL BANK,PEARL BANK,Apartment,3,RCR,99 yrs lease commencing from 2019,New Sale,1,2944000,-,1098,Strata,16 to 20,2681,1/11/22
42,THE LANDMARK,CHIN SWEE ROAD,Condominium,3,RCR,99 yrs lease commencing from 2020,New Sale,1,1320960,-,495,Strata,26 to 30,2668,1/11/22
43,PARC CLEMATIS,JALAN LEMPENG,Apartment,5,OCR,99 yrs lease commencing from 2019,New Sale,1,3145000,-,1711,Strata,11 to 15,1838,1/11/22
44,ONE PEARL BANK,PEARL BANK,Apartment,3,RCR,99 yrs lease commencing from 2019,New Sale,1,2013000,-,700,Strata,31 to 35,2877,1/11/22
45,THE LANDMARK,CHIN SWEE ROAD,Condominium,3,RCR,99 yrs lease commencing from 2020,New Sale,1,1852500,-,753,Strata,21 to 25,2459,1/11/22
46,ONE PEARL BANK,PEARL BANK,Apartment,3,RCR,99 yrs lease commencing from 2019,New Sale,1,2183000,-,840,Strata,36 to 40,2600,1/11/22
47,ONE PEARL BANK,PEARL BANK,Apartment,3,RCR,99 yrs lease commencing from 2019,New Sale,1,2956000,-,1216,Strata,21 to 25,2430,1/11/22
48,PARC CLEMATIS,JALAN LEMPENG,Apartment,5,OCR,99 yrs lease commencing from 2019,New Sale,1,3045000,-,1711,Strata,01 to 05,1779,1/11/22
49,THE LANDMARK,CHIN SWEE ROAD,Condominium,3,RCR,99 yrs lease commencing from 2020,New Sale,1,1307750,-,495,Strata,26 to 30,2641,1/11/22
50,ONE PEARL BANK,PEARL BANK,Apartment,3,RCR,99 yrs lease commencing from 2019,New Sale,1,1994000,-,700,Strata,26 to 30,2850,1/11/22
51,RIVIERE,JIAK KIM STREET,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,2378000,-,818,Strata,26 to 30,2907,1/11/22
52,PARC CLEMATIS,JALAN LEMPENG,Apartment,5,OCR,99 yrs lease commencing from 2019,New Sale,1,3015000,-,1711,Strata,06 to 10,1762,1/11/22
53,RIVIERE,JIAK KIM STREET,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,2475000,-,818,Strata,31 to 35,3025,1/10/22
54,THE LANDMARK,CHIN SWEE ROAD,Condominium,3,RCR,99 yrs lease commencing from 2020,New Sale,1,2798888,-,1141,Strata,16 to 20,2453,1/10/22
55,RIVIERE,JIAK KIM STREET,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,4519000,-,1507,Strata,26 to 30,2999,1/10/22
56,RIVIERE,JIAK KIM STREET,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,2508000,-,818,Strata,31 to 35,3066,1/10/22
57,ONE PEARL BANK,PEARL BANK,Apartment,3,RCR,99 yrs lease commencing from 2019,New Sale,1,2919000,-,1152,Strata,16 to 20,2534,1/10/22
58,THE REEF AT KING'S DOCK,HARBOURFRONT AVENUE,Condominium,4,RCR,99 yrs lease commencing from 2021,New Sale,1,2251000,-,883,Strata,01 to 05,2550,1/10/22
59,THE LANDMARK,CHIN SWEE ROAD,Condominium,3,RCR,99 yrs lease commencing from 2020,New Sale,1,1346888,-,517,Strata,21 to 25,2607,1/10/22
60,ONE PEARL BANK,PEARL BANK,Apartment,3,RCR,99 yrs lease commencing from 2019,New Sale,1,2140000,-,840,Strata,26 to 30,2549,1/10/22
61,THE LANDMARK,CHIN SWEE ROAD,Condominium,3,RCR,99 yrs lease commencing from 2020,New Sale,1,2693888,-,1141,Strata,11 to 15,2361,1/10/22
62,ONE PEARL BANK,PEARL BANK,Apartment,3,RCR,99 yrs lease commencing from 2019,New Sale,1,1955000,-,700,Strata,31 to 35,2794,1/10/22
63,THE LANDMARK,CHIN SWEE ROAD,Condominium,3,RCR,99 yrs lease commencing from 2020,New Sale,1,2673888,-,1141,Strata,11 to 15,2343,1/10/22
64,RIVIERE,JIAK KIM STREET,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,2638000,-,840,Strata,31 to 35,3142,1/10/22
65,THE LANDMARK,CHIN SWEE ROAD,Condominium,3,RCR,99 yrs lease commencing from 2020,New Sale,1,2445888,-,1076,Strata,06 to 10,2272,1/10/22
66,THE REEF AT KING'S DOCK,HARBOURFRONT AVENUE,Condominium,4,RCR,99 yrs lease commencing from 2021,New Sale,1,2363130,-,980,Strata,01 to 05,2413,1/10/22
67,THE LANDMARK,CHIN SWEE ROAD,Condominium,3,RCR,99 yrs lease commencing from 2020,New Sale,1,2534888,-,1076,Strata,11 to 15,2355,1/10/22
68,THE LANDMARK,CHIN SWEE ROAD,Condominium,3,RCR,99 yrs lease commencing from 2020,New Sale,1,2654300,-,1141,Strata,11 to 15,2326,1/10/22
69,PARC CLEMATIS,JALAN LEMPENG,Apartment,5,OCR,99 yrs lease commencing from 2019,New Sale,1,3105000,-,1711,Strata,16 to 20,1814,1/10/22
70,ONE PEARL BANK,PEARL BANK,Apartment,3,RCR,99 yrs lease commencing from 2019,New Sale,1,2947000,-,1184,Strata,21 to 25,2489,1/10/22
71,PARC CLEMATIS,JALAN LEMPENG,Apartment,5,OCR,99 yrs lease commencing from 2019,New Sale,1,3155000,-,1711,Strata,11 to 15,1843,1/10/22
72,ONE PEARL BANK,PEARL BANK,Apartment,3,RCR,99 yrs lease commencing from 2019,New Sale,1,2087000,-,840,Strata,26 to 30,2486,1/10/22
73,ONE PEARL BANK,PEARL BANK,Apartment,3,RCR,99 yrs lease commencing from 2019,New Sale,1,3066000,-,1195,Strata,11 to 15,2566,1/10/22
74,ONE PEARL BANK,PEARL BANK,Apartment,3,RCR,99 yrs lease commencing from 2019,New Sale,1,2866000,-,1184,Strata,11 to 15,2421,1/10/22
75,ONE BERNAM,BERNAM STREET,Apartment,2,CCR,99 yrs lease commencing from 2019,New Sale,1,1411000,-,463,Strata,26 to 30,3048,1/10/22
76,ONE PEARL BANK,PEARL BANK,Apartment,3,RCR,99 yrs lease commencing from 2019,New Sale,1,3869000,-,1399,Strata,31 to 35,2765,1/10/22
77,THE LANDMARK,CHIN SWEE ROAD,Condominium,3,RCR,99 yrs lease commencing from 2020,New Sale,1,2580336,-,1141,Strata,06 to 10,2262,1/10/22
78,RIVIERE,JIAK KIM STREET,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,4430000,-,1507,Strata,21 to 25,2940,1/10/22
79,ONE BERNAM,BERNAM STREET,Apartment,2,CCR,99 yrs lease commencing from 2019,New Sale,1,2102000,-,829,Strata,06 to 10,2536,1/10/22
80,ONE PEARL BANK,PEARL BANK,Apartment,3,RCR,99 yrs lease commencing from 2019,New Sale,1,2959000,-,1216,Strata,21 to 25,2433,1/10/22
81,KENT RIDGE HILL RESIDENCES,SOUTH BUONA VISTA ROAD,Apartment,5,RCR,99 yrs lease commencing from 2018,New Sale,1,3173000,-,1787,Strata,01 to 05,1776,1/10/22
82,ONE PEARL BANK,PEARL BANK,Apartment,3,RCR,99 yrs lease commencing from 2019,New Sale,1,3437000,-,1399,Strata,06 to 10,2456,1/10/22
83,RIVIERE,JIAK KIM STREET,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,4890000,-,1711,Strata,26 to 30,2857,1/10/22
84,THE LANDMARK,CHIN SWEE ROAD,Condominium,3,RCR,99 yrs lease commencing from 2020,New Sale,1,1338888,-,517,Strata,16 to 20,2591,1/10/22
85,RIVIERE,JIAK KIM STREET,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,3735000,-,1216,Strata,26 to 30,3071,1/10/22
86,RIVIERE,JIAK KIM STREET,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,3718000,-,1216,Strata,26 to 30,3057,1/10/22
87,RIVIERE,JIAK KIM STREET,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,3693000,-,1249,Strata,26 to 30,2958,1/10/22
88,RIVIERE,JIAK KIM STREET,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,4388000,-,1507,Strata,16 to 20,2912,1/10/22
89,ONE BERNAM,BERNAM STREET,Apartment,2,CCR,99 yrs lease commencing from 2019,New Sale,1,2010000,-,872,Strata,06 to 10,2305,1/10/22
90,RIVIERE,JIAK KIM STREET,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,2505000,-,840,Strata,26 to 30,2984,1/10/22
91,ONE BERNAM,BERNAM STREET,Apartment,2,CCR,99 yrs lease commencing from 2019,New Sale,1,1351000,-,452,Strata,21 to 25,2988,1/10/22
92,RIVIERE,JIAK KIM STREET,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,2348000,-,818,Strata,26 to 30,2870,1/10/22
93,ONE PEARL BANK,PEARL BANK,Apartment,3,RCR,99 yrs lease commencing from 2019,New Sale,1,3037000,-,1216,Strata,26 to 30,2497,1/10/22
94,PARC CLEMATIS,JALAN LEMPENG,Apartment,5,OCR,99 yrs lease commencing from 2019,New Sale,1,2780000,-,1464,Strata,01 to 05,1899,1/10/22
95,ONE PEARL BANK,PEARL BANK,Apartment,3,RCR,99 yrs lease commencing from 2019,New Sale,1,2191000,-,893,Strata,36 to 40,2452,1/10/22
96,RIVIERE,JIAK KIM STREET,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,3208000,-,1173,Strata,26 to 30,2734,1/10/22
97,RIVIERE,JIAK KIM STREET,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,3668000,-,1249,Strata,26 to 30,2938,1/10/22
98,ONE BERNAM,BERNAM STREET,Apartment,2,CCR,99 yrs lease commencing from 2019,New Sale,1,1348000,-,441,Strata,26 to 30,3054,1/10/22
99,THE REEF AT KING'S DOCK,HARBOURFRONT AVENUE,Condominium,4,RCR,99 yrs lease commencing from 2021,New Sale,1,3072000,-,1216,Strata,01 to 05,2526,1/10/22
100,ONE PEARL BANK,PEARL BANK,Apartment,3,RCR,99 yrs lease commencing from 2019,New Sale,1,2295000,-,893,Strata,36 to 40,2569,1/10/22
101,ONE BERNAM,BERNAM STREET,Apartment,2,CCR,99 yrs lease commencing from 2019,New Sale,1,2109000,-,829,Strata,06 to 10,2545,1/9/22
102,RIVIERE,JIAK KIM STREET,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,2438000,-,818,Strata,31 to 35,2980,1/9/22
103,PARC CLEMATIS,JALAN LEMPENG,Apartment,5,OCR,99 yrs lease commencing from 2019,New Sale,1,2740000,-,1464,Strata,11 to 15,1872,1/9/22
104,ONE PEARL BANK,PEARL BANK,Apartment,3,RCR,99 yrs lease commencing from 2019,New Sale,1,3129000,-,1216,Strata,36 to 40,2572,1/9/22
105,RIVIERE,JIAK KIM STREET,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,2455660,-,818,Strata,31 to 35,3002,1/9/22
106,KENT RIDGE HILL RESIDENCES,SOUTH BUONA VISTA ROAD,Apartment,5,RCR,99 yrs lease commencing from 2018,New Sale,1,1889088,-,947,Strata,01 to 05,1994,1/9/22
107,ONE BERNAM,BERNAM STREET,Apartment,2,CCR,99 yrs lease commencing from 2019,New Sale,1,1389000,-,463,Strata,21 to 25,3001,1/9/22
108,ONE BERNAM,BERNAM STREET,Apartment,2,CCR,99 yrs lease commencing from 2019,New Sale,1,1906000,-,807,Strata,06 to 10,2361,1/9/22
109,RIVIERE,JIAK KIM STREET,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,4067980,-,1216,Strata,36 to 40,3344,1/9/22
110,ONE BERNAM,BERNAM STREET,Apartment,2,CCR,99 yrs lease commencing from 2019,New Sale,1,1875000,-,700,Strata,16 to 20,2680,1/9/22
111,AVENUE SOUTH RESIDENCE,SILAT AVENUE,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,2927000,-,1496,Strata,01 to 05,1956,1/9/22
112,ONE BERNAM,BERNAM STREET,Apartment,2,CCR,99 yrs lease commencing from 2019,New Sale,1,1842000,-,700,Strata,16 to 20,2633,1/9/22
113,RIVIERE,JIAK KIM STREET,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,4545000,-,1711,Strata,11 to 15,2656,1/9/22
114,ONE BERNAM,BERNAM STREET,Apartment,2,CCR,99 yrs lease commencing from 2019,New Sale,1,1400000,-,463,Strata,21 to 25,3025,1/9/22
115,ONE BERNAM,BERNAM STREET,Apartment,2,CCR,99 yrs lease commencing from 2019,New Sale,1,2024000,-,872,Strata,06 to 10,2321,1/9/22
116,PARC CLEMATIS,JALAN LEMPENG,Apartment,5,OCR,99 yrs lease commencing from 2019,New Sale,1,4180000,-,2605,Strata,21 to 25,1605,1/9/22
117,THE LANDMARK,CHIN SWEE ROAD,Condominium,3,RCR,99 yrs lease commencing from 2020,New Sale,1,1299600,-,495,Strata,21 to 25,2625,1/9/22
118,ONE PEARL BANK,PEARL BANK,Apartment,3,RCR,99 yrs lease commencing from 2019,New Sale,1,2007000,-,700,Strata,31 to 35,2869,1/9/22
119,THE LANDMARK,CHIN SWEE ROAD,Condominium,3,RCR,99 yrs lease commencing from 2020,New Sale,1,1299600,-,495,Strata,21 to 25,2625,1/9/22
120,RIVIERE,JIAK KIM STREET,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,2448000,-,818,Strata,31 to 35,2992,1/9/22
121,THE LANDMARK,CHIN SWEE ROAD,Condominium,3,RCR,99 yrs lease commencing from 2020,New Sale,1,1317120,-,495,Strata,21 to 25,2660,1/9/22
122,CLAVON,CLEMENTI AVENUE 1,Apartment,5,OCR,99 yrs lease commencing from 2019,New Sale,1,2867000,-,1690,Strata,11 to 15,1697,1/9/22
123,THE LANDMARK,CHIN SWEE ROAD,Condominium,3,RCR,99 yrs lease commencing from 2020,New Sale,1,2469380,-,1141,Strata,01 to 05,2164,1/9/22
124,PARC CLEMATIS,JALAN LEMPENG,Apartment,5,OCR,99 yrs lease commencing from 2019,New Sale,1,2790000,-,1464,Strata,01 to 05,1906,1/9/22
125,RIVIERE,JIAK KIM STREET,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,4824000,-,1711,Strata,21 to 25,2819,1/9/22
126,ONE BERNAM,BERNAM STREET,Apartment,2,CCR,99 yrs lease commencing from 2019,New Sale,1,1852000,-,700,Strata,16 to 20,2647,1/9/22
127,RIVIERE,JIAK KIM STREET,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,2438000,-,818,Strata,26 to 30,2980,1/9/22
128,RIVIERE,JIAK KIM STREET,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,2428000,-,818,Strata,26 to 30,2968,1/9/22
129,ONE PEARL BANK,PEARL BANK,Apartment,3,RCR,99 yrs lease commencing from 2019,New Sale,1,2125000,-,840,Strata,26 to 30,2531,1/9/22
130,ONE PEARL BANK,PEARL BANK,Apartment,3,RCR,99 yrs lease commencing from 2019,New Sale,1,2216000,-,840,Strata,26 to 30,2639,1/9/22
131,RIVIERE,JIAK KIM STREET,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,3698000,-,1216,Strata,21 to 25,3040,1/9/22
132,ONE BERNAM,BERNAM STREET,Apartment,2,CCR,99 yrs lease commencing from 2019,New Sale,1,1857000,-,732,Strata,16 to 20,2537,1/9/22
133,ONE PEARL BANK,PEARL BANK,Apartment,3,RCR,99 yrs lease commencing from 2019,New Sale,1,1981000,-,700,Strata,26 to 30,2831,1/9/22
134,ONE BERNAM,BERNAM STREET,Apartment,2,CCR,99 yrs lease commencing from 2019,New Sale,1,2030000,-,829,Strata,06 to 10,2449,1/9/22
135,RIVIERE,JIAK KIM STREET,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,6638888,-,2002,Strata,31 to 35,3316,1/9/22
136,THE LANDMARK,CHIN SWEE ROAD,Condominium,3,RCR,99 yrs lease commencing from 2020,New Sale,1,1342888,-,517,Strata,21 to 25,2599,1/9/22
137,RIVIERE,JIAK KIM STREET,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,3335000,-,1141,Strata,26 to 30,2923,1/9/22
138,RIVIERE,JIAK KIM STREET,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,1690000,-,560,Strata,26 to 30,3019,1/9/22
139,RIVIERE,JIAK KIM STREET,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,2408000,-,818,Strata,26 to 30,2944,1/9/22
140,AVENUE SOUTH RESIDENCE,SILAT AVENUE,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,1382000,-,527,Strata,51 to 55,2620,1/9/22
141,ONE PEARL BANK,PEARL BANK,Apartment,3,RCR,99 yrs lease commencing from 2019,New Sale,1,1988000,-,700,Strata,26 to 30,2841,1/9/22
142,THE LANDMARK,CHIN SWEE ROAD,Condominium,3,RCR,99 yrs lease commencing from 2020,New Sale,1,1351888,-,517,Strata,21 to 25,2617,1/9/22
143,RIVIERE,JIAK KIM STREET,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,1733000,-,560,Strata,26 to 30,3096,1/9/22
144,RIVIERE,JIAK KIM STREET,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,3148000,-,1173,Strata,21 to 25,2683,1/9/22
145,AVENUE SOUTH RESIDENCE,SILAT AVENUE,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,1372000,-,527,Strata,51 to 55,2601,1/9/22
146,ONE PEARL BANK,PEARL BANK,Apartment,3,RCR,99 yrs lease commencing from 2019,New Sale,1,2948000,-,1098,Strata,16 to 20,2685,1/9/22
147,ONE PEARL BANK,PEARL BANK,Apartment,3,RCR,99 yrs lease commencing from 2019,New Sale,1,1981000,-,700,Strata,26 to 30,2831,1/9/22
148,RIVIERE,JIAK KIM STREET,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,2398000,-,818,Strata,26 to 30,2931,1/9/22
149,ONE PEARL BANK,PEARL BANK,Apartment,3,RCR,99 yrs lease commencing from 2019,New Sale,1,3262000,-,1281,Strata,31 to 35,2547,1/9/22
150,ONE PEARL BANK,PEARL BANK,Apartment,3,RCR,99 yrs lease commencing from 2019,New Sale,1,1234000,-,431,Strata,21 to 25,2866,1/9/22
151,RIVIERE,JIAK KIM STREET,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,4758000,-,1711,Strata,21 to 25,2780,1/9/22
152,RIVIERE,JIAK KIM STREET,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,3025000,-,1141,Strata,11 to 15,2651,1/9/22
153,ONE PEARL BANK,PEARL BANK,Apartment,3,RCR,99 yrs lease commencing from 2019,New Sale,1,3767000,-,1399,Strata,26 to 30,2692,1/9/22
154,AVENUE SOUTH RESIDENCE,SILAT AVENUE,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,1529000,-,657,Strata,46 to 50,2329,1/9/22
155,KENT RIDGE HILL RESIDENCES,SOUTH BUONA VISTA ROAD,Apartment,5,RCR,99 yrs lease commencing from 2018,New Sale,1,2050050,-,1044,Strata,01 to 05,1963,1/9/22
156,RIVIERE,JIAK KIM STREET,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,2852000,-,1173,Strata,01 to 05,2431,1/8/22
157,KENT RIDGE HILL RESIDENCES,SOUTH BUONA VISTA ROAD,Apartment,5,RCR,99 yrs lease commencing from 2018,New Sale,1,2075725,-,1044,Strata,01 to 05,1988,1/8/22
158,ONE PEARL BANK,PEARL BANK,Apartment,3,RCR,99 yrs lease commencing from 2019,New Sale,1,2867000,-,1152,Strata,11 to 15,2489,1/8/22
159,RIVIERE,JIAK KIM STREET,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,2338000,-,818,Strata,21 to 25,2858,1/8/22
160,PARC CLEMATIS,JALAN LEMPENG,Apartment,5,OCR,99 yrs lease commencing from 2019,New Sale,1,2725000,-,1464,Strata,21 to 25,1861,1/8/22
161,THE LANDMARK,CHIN SWEE ROAD,Condominium,3,RCR,99 yrs lease commencing from 2020,New Sale,1,1317120,-,495,Strata,21 to 25,2660,1/8/22
162,RIVIERE,JIAK KIM STREET,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,2608000,-,840,Strata,31 to 35,3106,1/8/22
163,RIVIERE,JIAK KIM STREET,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,2728000,-,840,Strata,36 to 40,3249,1/8/22
164,THE LANDMARK,CHIN SWEE ROAD,Condominium,3,RCR,99 yrs lease commencing from 2020,New Sale,1,1295800,-,495,Strata,21 to 25,2617,1/8/22
165,ONE BERNAM,BERNAM STREET,Apartment,2,CCR,99 yrs lease commencing from 2019,New Sale,1,1959000,-,807,Strata,06 to 10,2427,1/8/22
166,ONE BERNAM,BERNAM STREET,Apartment,2,CCR,99 yrs lease commencing from 2019,New Sale,1,1966000,-,807,Strata,06 to 10,2435,1/8/22
167,AVENUE SOUTH RESIDENCE,SILAT AVENUE,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,2965000,-,1496,Strata,01 to 05,1982,1/8/22
